student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
5638,1524794,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,700,690,660,31,32,27,28,30,29
3127,1535495,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,720,510,550,,,,,,
6833,1542119,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,N,Non-Resident,,800,740,760,,,,,,
786,1538434,2016,Academic Year 2015-2016,Fall 2015,IE,School of Industrial Engr,F,Foreign,,800,750,620,,,,,,
846,1460056,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,89,630,480,460,17,27,14,20,20,16
883,1468097,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,R,Resident,98,660,610,590,25,30,24,26,26,24
497,1463611,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,N,Non-Resident,58,,,,24,27,24,24,25,23
5806,1539586,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,N,Non-Resident,,,,,24,28,34,26,28,23
2865,1471603,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,80,600,610,630,28,26,27,26,27,
3284,1505308,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,N,Non-Resident,,,,,33,34,34,30,32,30
3485,1499653,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,97,580,560,700,,,,,,
2419,1372715,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,R,Resident,95,590,520,560,27,28,31,30,29,26
3071,1502706,2016,Academic Year 2015-2016,Fall 2015,PP,Pre-Pharmacy,R,Resident,,640,630,630,34,27,31,26,30,31
5443,1510975,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,N,Non-Resident,,,,,26,25,31,25,27,25
1916,1451563,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,97,640,570,580,24,27,28,24,26,22
5397,1498281,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,95,,,,28,32,30,32,31,26
3527,1509501,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,94,610,520,590,,,,,,
2363,1495637,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,,550,630,630,,,,,,
6539,1513701,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,100,690,580,560,26,33,25,27,28,28
4099,1533404,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,F,Foreign,,790,610,620,,,,,,
1408,1469317,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,640,570,490,15,25,16,23,20,17
5596,1489622,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,480,600,680,,,,,,
2605,1478255,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,R,Resident,,470,490,480,,,,,,
3888,1497517,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,N,Non-Resident,97,,,,31,28,32,31,30,29
4630,1460831,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,R,Resident,97,590,600,620,,,,,,
1112,1421159,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,520,550,520,25,24,21,26,24,23
1813,1504536,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,,,,,30,27,35,32,30,26
